iter	Passed	Remaining
153	4341	23848
154	4366	23806
155	4404	23831
156	4440	23840
157	4478	23868
158	4512	23870
159	4543	23854
160	4564	23786
161	4595	23773
162	4627	23761
163	4658	23744
164	4689	23729
165	4720	23714
166	4746	23675
167	4776	23656
168	4801	23612
169	4827	23571
170	4853	23528
171	4879	23489
172	4904	23446
173	4930	23405
174	4957	23369
175	4988	23354
176	5014	23314
177	5040	23275
178	5071	23261
179	5102	23244
180	5133	23229
181	5166	23219
182	5199	23213
183	5232	23204
184	5264	23191
185	5294	23169
186	5324	23148
187	5359	23149
188	5388	23121
189	5415	23085
190	5441	23046
191	5467	23010
192	5493	22969
193	5518	22928
194	5545	22891
195	5571	22854
196	5597	22817
197	5623	22777
198	5649	22737
199	5674	22698
200	5700	22660
201	5726	22623
202	5752	22584
203	5778	22546
204	5804	22509
205	5830	22471
206	5856	22435
207	5882	22396
208	5907	22359
209	5933	22322
210	5960	22286
211	5995	22284
212	6027	22271
213	6056	22243
214	6081	22206
215	6108	22170
216	6134	22133
217	6160	22097
218	6185	22060
219	6211	22023
220	6237	21987
221	6263	21949
222	6289	21916
223	6315	21878
224	6342	21846
225	6368	21811
226	6399	21791
227	6433	21783
228	6465	21769
229	6495	21745
230	6528	21731
231	6563	21726
232	6593	21705
233	6627	21693
234	6658	21675
235	6688	21652
236	6714	21617
237	6741	21583
238	6767	21547
239	6792	21509
240	6818	21473
241	6844	21437
242	6870	21402
243	6895	21365
244	6921	21328
245	6947	21294
246	6973	21259
247	7006	21245
248	7037	21224
249	7069	21207
250	7100	21188
251	7130	21164
252	7160	21142
253	7190	21118
254	7219	21093
255	7250	21072
256	7281	21050
257	7310	21025
258	7336	20989
259	7362	20955
260	7389	20921
261	7414	20885
262	7440	20851
263	7467	20817
264	7492	20781
265	7518	20746
266	7544	20712
267	7570	20677
268	7596	20642
269	7621	20607
270	7647	20572
271	7673	20538
272	7699	20504
273	7725	20469
274	7751	20435
275	7777	20400
276	7804	20370
277	7830	20337
278	7856	20302
279	7881	20267
280	7907	20233
281	7933	20198
282	7959	20164
283	7985	20131
284	8020	20121
285	8049	20095
286	8078	20068
287	8103	20034
288	8130	20001
289	8155	19967
290	8180	19932
291	8206	19897
292	8231	19863
293	8258	19832
294	8285	19799
295	8310	19766
296	8338	19736
297	8364	19703
298	8389	19668
299	8417	19639
300	8448	19619
301	8479	19598
302	8510	19577
303	8541	19556
304	8571	19531
305	8602	19509
306	8630	19482
307	8661	19460
308	8690	19434
309	8717	19403
310	8743	19370
311	8768	19336
312	8794	19302
313	8820	19269
314	8846	19236
315	8872	19204
316	8898	19172
317	8924	19140
318	8950	19106
319	8976	19074
320	9004	19047
321	9040	19035
322	9072	19015
323	9104	18995
324	9135	18973
325	9164	18947
326	9194	18923
327	9224	18898
328	9255	18876
329	9284	18850
330	9314	18826
331	9341	18794
332	9367	18762
333	9393	18730
334	9419	18698
335	9446	18667
336	9472	18635
337	9498	18602
338	9523	18570
339	9549	18538
340	9575	18505
341	9601	18472
342	9627	18440
343	9652	18407
344	9679	18376
345	9705	18344
346	9731	18313
347	9757	18281
348	9783	18249
349	9809	18217
350	9835	18185
351	9861	18153
352	9887	18121
353	9913	18090
354	9939	18058
355	9965	18028
356	9991	17996
357	10017	17965
358	10060	17963
359	10092	17941
360	10123	17918
361	10152	17892
362	10178	17860
363	10203	17828
364	10230	17797
365	10256	17766
366	10282	17734
367	10308	17703
368	10334	17672
369	10360	17641
370	10386	17609
371	10412	17577
372	10438	17547
373	10465	17516
374	10497	17496
375	10528	17473
376	10559	17449
377	10590	17426
378	10620	17402
379	10653	17381
380	10684	17358
381	10714	17333
382	10744	17309
383	10773	17282
384	10800	17252
385	10825	17219
386	10850	17187
387	10876	17155
388	10901	17123
389	10927	17092
390	10953	17060
391	10979	17029
392	11004	16997
393	11030	16965
394	11070	16955
395	11095	16924
396	11127	16900
397	11158	16878
398	11190	16856
399	11223	16835
400	11253	16809
401	11283	16784
